hotel_name,price_euros,rating,neighborhood
Bright and cozy- 1D 1B- Plaza Castilla,618.0,7.0,"Tetuán, Madrid"
Cruz Apartment,1.307,7.6,"Centro de Madrid, Madrid"
Compostela Suites,757.0,7.7,"San Blas, Madrid"
Francisco I Boutique,1.613,9.0,"Centro de Madrid, Madrid"
Cozy studio with pool-Salamanca,855.0,6.2,"Salamanca, Madrid"
Bloom Inn Madrid,1.269,8.3,"Centro de Madrid, Madrid"
Grupotel Mayorazgo,1.734,8.8,"Centro de Madrid, Madrid"
Apartamento Principe de Vergara,890.0,8.3,"Chamartín, Madrid"
Petit Palace Savoy Alfonso XII,1.977,8.4,"Retiro, Madrid"
Hotel Mirador de Chamartín,1.699,8.4,"Ciudad Lineal, Madrid"
Salomé,1.122,8.9,"Centro de Madrid, Madrid"
Plaza España,1.234,7.3,"Centro de Madrid, Madrid"
Las Meninas de Cavero,2.116,9.6,"Hortaleza, Madrid"
APARTAMENTO 3 HAB MADRID CENTRO,2.289,8.7,"Centro de Madrid, Madrid"
Collection Plaza de España,1.566,7.2,"Centro de Madrid, Madrid"
Urban Inn Madrid,500.0,7.3,"Centro de Madrid, Madrid"
Petit Palace Alcalá,2.034,8.3,"Centro de Madrid, Madrid"
SUITES YOU Zinc,817.0,7.8,"Centro de Madrid, Madrid"
Roisa Hostal Boutique,873.0,8.0,"Chamartín, Madrid"
Vincci Vía - 66,1.907,8.7,"Centro de Madrid, Madrid"
BYPILLOW The Citadel,1.288,8.4,"Centro de Madrid, Madrid"
Charming Malasaña,1.763,8.3,"Centro de Madrid, Madrid"
L&H La Latina Selection,1.54,8.8,"Centro de Madrid, Madrid"
ICON Wipton,3.08,8.9,"Salamanca, Madrid"
Turísticos Cuenca 3,879.0,7.8,"Tetuán, Madrid"
Melia Madrid Serrano,2.594,8.7,"Salamanca, Madrid"
Vincci Soho,1.907,8.7,"Centro de Madrid, Madrid"
Motel One Madrid-Plaza de España,1.103,8.8,"Moncloa - Aravaca, Madrid"
Madridcito,1.095,8.9,"Centro de Madrid, Madrid"
Hotel Regina,2.55,9.3,"Centro de Madrid, Madrid"
Designer Apartment 3,1.45,9.6,"Chamartín, Madrid"
Minty Stay - 3 BD Lavapies,2.099,7.7,"Centro de Madrid, Madrid"
Hotel Chamartin The One,901.0,8.2,"Chamartín, Madrid"
Fly Rooms Madrid Airport,1.03,9.0,"Barajas, Madrid"
CriteriaHome! nice&easy,490.0,8.9,"Villaverde, Madrid"
