hotel_name,price_euros,rating,neighborhood
SLEEP'N Atocha - B Corp Certified,1.186,8.9,"Centro de Madrid, Madrid"
Little Cozy loft Madrid free street parking WIFI Barbadillo Bis,597.0,6.7,"Ciudad Lineal, Madrid"
MyHouseSpain - Fuencarral and Gran Vía,518.0,6.8,"Centro de Madrid, Madrid"
ICON Wipton,2.497,8.9,"Salamanca, Madrid"
Gran Hotel Inglés - The Leading Hotels of the World,3.516,9.3,"Centro de Madrid, Madrid"
TH Aravaca,693.0,7.8,"Moncloa - Aravaca, Madrid"
Modern comfy-1bedroom 1bathroom-Prosperidad,701.0,7.2,"Chamartín, Madrid"
Cozy apartment in Begoña neighborhood - Mugica,680.0,9.8,"Fuencarral - El Pardo, Madrid"
Minty Stay - 3 BD Lavapies,2.021,7.7,"Centro de Madrid, Madrid"
HOSTAL LA ESTACION TERRAZAS,895.0,8.5,"Arganzuela, Madrid"
Studios Cielo Madrid,826.0,8.7,"Carabanchel, Madrid"
Exclusive Rooms in the Heart of the City,949.0,7.3,"Chamberí, Madrid"
1 bedroom 1 bathroom furnished - Recoletos - modern functional - MintyStay,852.0,7.7,"Salamanca, Madrid"
"voco Madrid Retiro, an IHG Hotel",1.346,8.7,"Retiro, Madrid"
Rooms Chima,373.0,7.2,"Hortaleza, Madrid"
Valdevebas Chalet con Piscina,6.3,9.4,"Hortaleza, Madrid"
Apartamentos Centro Jardines,1.014,8.3,"Centro de Madrid, Madrid"
Exe Zarzuela Park,781.0,8.5,"Moncloa - Aravaca, Madrid"
Hostal Comercial,1.195,8.4,"Centro de Madrid, Madrid"
NYX Hotel Madrid by Leonardo Hotels,1.117,8.4,"Tetuán, Madrid"
limehome Madrid Calle de la Madera - Digital Access,1.348,8.0,"Centro de Madrid, Madrid"
Apartamento antonio lopez a,884.0,8.8,"Usera, Madrid"
Francisco I Boutique,1.84,9.0,"Centro de Madrid, Madrid"
Petit Palace Posada del Peine,1.621,8.5,"Centro de Madrid, Madrid"
Luxe apartments Madrid Rio by RentitUP,892.0,8.4,"Arganzuela, Madrid"
NH Madrid Principe de Vergara,1.409,8.5,"Salamanca, Madrid"
Soho Boutique Opera,1.592,8.3,"Centro de Madrid, Madrid"
Hostal Centro Sol Madrid,909.0,8.8,"Centro de Madrid, Madrid"
Porcel Ganivet,984.0,8.8,"Centro de Madrid, Madrid"
GuestReady -Marvelous Retreat near Plaza de España,2.454,8.9,"Centro de Madrid, Madrid"
Charming Madrid Castilla Cuzco,902.0,8.7,"Tetuán, Madrid"
Hostal Victoria III,867.0,8.2,"Centro de Madrid, Madrid"
Estudio acogedor en zona norte,694.0,9.2,"Tetuán, Madrid"
Gran Central Suites,977.0,8.0,"Centro de Madrid, Madrid"
Ocean Drive Madrid,1.744,8.8,"Centro de Madrid, Madrid"
Pestana Plaza Mayor Madrid,1.819,9.0,"Centro de Madrid, Madrid"
1881 Madrid Ventas Hotel,1.2,8.9,"Ciudad Lineal, Madrid"
SabiaNatura - boutiqueMadrid,924.0,7.8,"Centro de Madrid, Madrid"
